Student	Test	Class	Scale	MResponse
9	Post	C-3	B	2.85714285714286
10	Post	C-3	B	2.5
12	Post	C-3	B	2.71428571428571
13	Post	C-3	B	2.57142857142857
14	Post	C-1	B	2.5
15	Post	C-3	B	2.71428571428571
16	Post	C-3	B	2.57142857142857
17	Post	C-1	B	3.28571428571429
18	Post	C-1	B	3.92857142857143
19	Post	C-1	B	3
20	Post	C-1	B	3.07142857142857
21	Post	C-3	B	4.85714285714286
22	Post	C-2	B	3.85714285714286
23	Post	C-1	B	3.5
24	Post	C-3	B	2.14285714285714
25	Post	C-1	B	4
26	Post	C-2	B	3
27	Post	C-1	B	2.92857142857143
28	Post	C-1	B	2.71428571428571
29	Post	C-1	B	4.21428571428571
30	Post	C-3	B	2.78571428571429
31	Post	C-2	B	1.78571428571429
32	Post	C-1	B	2.42857142857143
33	Post	C-2	B	2.71428571428571
35	Post	C-2	B	3.35714285714286
36	Post	C-1	B	1.64285714285714
37	Post	C-1	B	3.35714285714286
38	Post	C-2	B	3.5
39	Post	C-2	B	2.14285714285714
40	Post	C-3	B	3.14285714285714
41	Post	C-2	B	3.42857142857143
42	Post	C-2	B	2.42857142857143
43	Post	C-3	B	3
44	Post	C-2	B	3.28571428571429
45	Post	C-2	B	3.64285714285714
46	Post	C-3	B	2.42857142857143
47	Post	C-2	B	4
48	Post	C-3	B	3.42857142857143
49	Post	C-1	B	2.92857142857143
50	Post	C-2	B	4.21428571428571
51	Post	C-2	B	3.5
1	Pre	C-2	C	3.33333333333333
2	Pre	C-3	C	2.5
3	Pre	C-1	C	3.16666666666667
5	Pre	C-2	C	2.5
6	Pre	C-3	C	2.16666666666667
8	Pre	C-2	C	3.33333333333333
9	Pre	C-3	C	2.33333333333333
10	Pre	C-3	C	2.83333333333333
12	Pre	C-3	C	2.83333333333333
13	Pre	C-3	C	2.83333333333333
14	Pre	C-1	C	3.66666666666667
15	Pre	C-3	C	2.66666666666667
16	Pre	C-3	C	2.66666666666667
17	Pre	C-1	C	3.66666666666667
18	Pre	C-1	C	3.33333333333333
19	Pre	C-1	C	2.5
20	Pre	C-1	C	3
21	Pre	C-3	C	2.83333333333333
22	Pre	C-2	C	3.16666666666667
